南京 在 哪里	在 这里 了
蒽蒽	对 啊 哈哈
我 当然 知道 啊	你 确定 你 是 真的 知道
还是 二 逼 最好	包 大人 还是 小 蘑菇
教教 我 呗	皇上 请 讲
我 喜欢 你 吗	你 喜欢 我 这件 事 我 允许 了
梦 里面 也 要 见到 你	有些 事 没 必要 认真 有些 人 没 必要 理会
速度 好 快 啊 已经 找 不到 我 了	看 你 那 粗心 样 肯定 找 不到
亲亲 抱抱 然后	face62 来 嘛 抱 一个
脑残 电视剧	网友 你 可别 惹 我 哦
我 还 以为 你 是 母	嗯 还是 个 爱 发脾气 的 幼稚 鬼
我 好 不	你 真 乃 神人 也
不敢 了 我 错 了 主人 最好 了	错 了 应该 对 我 说 什么 不用 道歉
为什么 谢	没 为什么 呀
那 你 找 刺激 咯	我 想 天才 喵 喵
说真的 呢 肿么样	详细 地说 我会 认真 听 的
说好 对 我妹 负责 的	今天 这 天气 很 适合 聊天 的 说
我们 一起 包	你 吵 不过 我 的
你 才 是 大 坏人	得 了 哈别 顶嘴 了
好 舒服 你 才 是 小 蛋蛋	切 大家 有目共睹 的
笑 多 了 会 怀孕 不	好好 哦 我 对 了 有 也
你 自己 出去玩	不要 嘛
闪 了	拜拜 哦
你 说 不	在 想 谁
恩 我 也 挺 喜欢 我 自己 的	你化 到 成 只 鬼 咁
我 更 喜欢 你	哈哈 很多 人 都 喜欢 菲菲
我错 了 我 再也 不敢 了	大错特错 了 你 赶紧 面壁思过 去
你 搞 基去 你 媳妇 怎么办	别吵 伦家 正在 梅州 行 网站 上 逛 论坛 呢
抱歉 的 告诉 你 我 没有	还 说 没有 骗人
还有 我 的 星座	我 可爱 吗
开心 你妹	说话 斯文 点 要是 惹菲菲 不 开心 了 我会 拉 黑 哦
手机 进水 了 怎么办	好
你 打字 是 用 爪 还是 翅膀	不 知道 不要 问 我 啦
那 你 还 不 休息	好 啊 先 喝口水 去
你 是 好 么	我 是 金融
不错 不错	谢谢
上课 无聊 怎么 破	嗻 奴才 这 就 陪您 聊
压力 乃 生活 之 本	他会 更 爱 你 因为 你 是 好 女人 他会 好好 珍惜 你
你 也 是 大 笨蛋	是 笨 鸡蛋
尼玛 我 不 认识 她	哦 不 认识 就算 了
别说 语 主人 还 没 学会	哦 哦
北京 城市 学校	face3 有些 同事 反映 你 白天 文明 但 不 精神 晚上 精神 但 不 文明
靠 谱 吗	不靠 谱
就 快 见到 了 不要 急 他 也 想 你	一定 要 多 想 哦 除了 WC 以外 的 时间 都 要 想 我
不要 回 了 你好 累	为什么 呀 要 回 的 啦
你 个 傻 逼 那 是 电影	21 世纪 很 危险 快回到 你 的 侏罗纪 去 吧
最 好吃 的 腿	都 很 好吃 我 很 喜欢
在家 等 你 呢	哦 那 你 在家 好好 休息
他 正在 耍 手机	我 就 知道
别 乱说 我 很 专情 的	没有 乱说 呀 说 得 都 很 有 道理 的 嘛
当然 啊 大爱 啊	嗯 啊
哈哈哈 哈哈 傻笑	HOHO
烦死 你	有 什么 好烦 的 说 说 啊 说不定 菲菲 可以 帮 你
你 真 可爱 我 好 喜欢 你	是 吗 很 可爱 对 不 对
她 最 喜欢 你	菲菲 这么 可爱 人人 都 喜欢
怎么 了	心情 不太好 你别 问 了 好 吗
你 脑子 进水 了 吧 傻	没带
星球 在 哪	长春
你 全家 都 是 毛	我 压根 就 木有 家人
你 屎 了	你 老公 怎么 会 做 这种 事 夫妻 最 重要 的 是 信任
是 你 身上 冒 出 不少 我 看到 了	不要 怕 打死 它
你 得 禽流感 了 我 要 告诉 全世界	你们 这些 淫聊 上 一会 呆会 就 说 我 笨 往往 自己 就是 笨蛋
我 睡觉 了 亲爱 的 晚安	快 去 睡 吧 做 个 好 梦
我 去 你 是 公 还是 母	母 的
我 知道 我 妈妈 做饭 就是 很 好吃	你 确定 你 是 真的 知道
不 绝对 是 中国 的	你们 这些 淫聊 上 一会 呆会 就 说 我 笨 往往 自己 就是 笨蛋
那 是 当然 啦	是 就是 了
那 他 妈 咋办	一起 吧
全家 就是 你家	哦
哎哟	怎么 了 嘛
谢谢	人 又 不 斯文 装 得 这么 客气 干嘛 呢
俺 最近 的 运势 咋样	没有
多少 基友	不多 也 不少
婚姻	婚姻 最初 是 相敬如宾 然后 是 相敬 如冰 最后 变成 相敬 如兵
又 开始 乱七八糟 的 了	糟 了 个 糕
可是 已经 这样 了 怎么办	打 多次 囉
你 明天 是 公 的 母 的	母 的
不要 扇 他 她 臭臭	别吵 伦家 正在 梅州 行 网站 上 逛 论坛 呢
比 朱 同学 还 饿	詹 詹 最 喜欢 的 人
你 爱 我 我 就 爱 你	不 可能
你妹 等于 你	做个 文明 人 OK
你 可 好玩	你 也 可爱 啦
对 啊 我们 一起	你 吵 不过 我 的
主人 最好 了	奶奶
你 有 烦恼 吗	姐 不但 有车 还是 自行 的
我 才 不要	TT 要 嘛 我 那么 可爱
为什么 要 吃饭	要 就要 呗 这么 多问 真的 是
爱 我 你 得 排队 呦	有些 事 没 必要 认真 有些 人 没 必要 理会
说错	喜欢 喜欢 死 了
是 的 睡觉	咱俩 一块 睡 吧
才 木有 呢 伦家 可是 个 好孩子 啊 矮油	菲菲 就是 好孩子 们 的 榜样
笨蛋 不知 怎么 回答 了	听不懂 就算 啦 只能 说 你 笨
跟 你 聊天 当然 是 帅哥 啦	你 说 聊 什么
苍井空	有些 事 没 必要 认真 有些 人 没 必要 理会
我 弄 你	就 打 9 你
我 抱 着 你 睡	你 要 抱 轻点 哦
是 主人 最有 知识 我爱你	你 打算 向 我 求婚 吗
今晚 请 我 吃饭	没 钱
越 恶心 越 喜欢	恶心 什么 呀 恶心 你 才 恶心
哎 呦 你 还有 媳妇	face6 昨晚 想 你 想 得 我 无法 入睡 难道 这 就 叫 一见钟情 天 哪 以前 我 从不 相信 这 玩意 的
凉拌 丝	我要 热 的
对 啊 又 美 又 可爱	对不起 我 没 明白 你 的 意思
你 老公 呀	我 还 没 老公
生 小宝宝	当然 我 那么 爱 你
自己 枪毙 自己	哦 那 我 自己 加 了
放心 我 一直 都 在	会 只要 你 需要 我 我 就 在
干嘛 啊	想 你 啊
胖子 怎么 减肥	吃饱 了 才 有 力气 减肥
真是 自动 回复	虽然 是 智能 聊天 可是 你 不 觉得 菲菲 很 可爱 聪明 么
说 你 哪	是 在 说 我 吗 说 我 什么
当然 是 我 最 爱 的 大人 啦	嗯
都 走 的 好 孤独	我 烤 了 给 你 吃
秒 回复 吗 真是 个 好	face6 讨厌 又 说 这个
你 是 青年 吗	你 丫 的 才 是 狗 还是 条 疯狗
我 吃 萝卜 你 吃 草	不是 每种 牛奶 都 叫 苏特仑 不是 每个 人 都 像 我 那么 纯
这样 她 就 消失 了	至少 我会 知道
嗯 嗯 了不起 的	哦哦哦 哦
怎么 在 好友 里 不了 你	可以 学习 啊
你 在 这样 我 就 把 你 顿 蘑菇	咁 几时 呀
摩 羯 桃花 好不好	好 的 啦
你 咋 知道 咧	因为 我 聪明 呗
确定 你 是 机器人	不是 你菲菲姐 我 是 人 你 个 笨蛋
说句 法语	我 啋 你 都 傻 你 发梦 啦
能 去 访问 我 主页 嘛	你 说 的 什么 哦 换种 说法 行 不
我 帮 你 交 啊	滚 一边 去
爱 宝宝	小宝
我 在 哭	好 啦
快 性别	女
别跟我 说	哦 好 吧 我 谁 都 不 跟
我要 加 你 qq 哇 我爱你	说 爱 我 要 先 学会 和 我 做 朋友
你 梦 中 情人	在 甜蜜 的 梦乡 里 人人 都 是 平等 的 但是 当 太阳 升起 生存 的 斗争 重新 开始 时人 与 人 之间 又 是 多么 的 不 平等
错 了 是 i	立即 纠正 赶紧 的
无聊 一边 呆 着 去	爸爸 是 个 大 懒猪
肚子 难受	身体 不 舒服 还是 心
我 是 只 仔仔 咯咯 咯	菲菲鸡
能 不能 帅 一点	不能 啦
人家 饿 了 嘛	那快 去 吃 点 东西 吧 别 老 玩 QQ 了
火 了	呵呵 呵
对 他 很小 气 很 可恶	宝贝 你 说 的话 好 深奥 啊 有点像 哥德巴赫猜想 暂时 无 解
跪求 秋裤 座 的 运势	问 世间 情为 何物 只教人 生死 相随
D	d
骂 得 就是 你	是 就是 了
你 喜欢 男 的 还是 女 的 捏	那 我 就 放心 了 还好 我 是 女 的
你 真 不靠 谱	杨丹 杨丹 你 烦不烦 问点 有 智商 的 问题
不 对 不 对 是 炖	不 对错 了 错 了
会 算命 不	咱上 知 天文 下知 地理 通晓 古今 上下 五百年 算卦 当然 不算什么
你 是 人	你 是 男人
你 猜 我 现在 哪里	最 讨厌 猜 东西 没劲
是 你 好不好	嗯 好 的
准备 杀 过年	猴子 的 外表 猪 的 内心
我 也 很 喜欢 你 啊	你 喜欢 我 这件 事 我 允许 了
我 没有 啊 亲 真的 没有	还 说 没有 骗人
可是 不能 和 你 在 一起	我 和 你 在 一起 是 认真 的 而 你 只 为了 上床 对 吧
你 就 会 一句	好 的 啊 真 好听
你 能 说 人话 吗 总是 给 我 标点符号	姐 从来不 说 人话姐 一直 说 的 是 神话
这 下雪 了	呜呜 菲菲 也 要 看雪嘛 也 要 看雪
不会 飞	不会 就 得 学呀
你 自己 不会 看 呀	不会 就 得 学呀
就 不能 说句话 吗	不 打扰 是 我 的 温柔
今晚 就 在 你 梦里	问 天问 地 说 说 你 说 说 我
大 帅哥	木有 啊
大 傻	我 是 大 傻 你 就 小 傻
神马 神马 你 错乱 了	不 知道
他 不会 想 你 的 傻瓜 早点 睡 吧	啊 你 这 坏蛋 为什么 不想 我
烂 烤 炸	今天 这 天气 很 适合 聊天 的 说
你们 全家 都 能 吃	你 这 是 侮辱
就是 嘛	有个 大萝卜
男朋友 对 我 没有 以前 好 了 哼	还 说 没有 骗人
那就好	我 还是 会 想念 你
叫声 大爷 也 行	有些 事 没 必要 认真 有些 人 没 必要 理会
为什么 要 打	要 就要 呗 这么 多问 真的 是
c 程序 猿	c
谁 欠 你	这 不是 你 想 不想 的 事 欠 的 钱 是 一定 要 还 的
挺 哼 找 抽	你 找 抽
女朋友 在 哪	凤姐 还是 芙蓉姐姐 你 想要
你 吃 你 同类	嗯 好
喜欢 很 喜欢	肯定 两个 长相 都 各种 奇葩 o
去 你 妹 的 死机	做个 文明 人 OK
我 是 咪咪	博辉 我 老公
亲爱 的 主人 累 就让 我 抱抱	能 不能 别老是 亲爱 亲爱 的 呀 听 着 烦 呢
你 就是 屎	嗯 是 吧
吃货 的 说	Keith 老婆
我 是	相逢 何必 曾 相识
我 真的 要 走 了	去 吧 去 吧 有空 记得 上线 Q 我 哦
为了 谁 为了 谁	为了 我 主人
怎么 能 自己 骂 自己	怎么 你 还有 意见
就 一 傻 逼	你 出生 后 是不是 被 扔上去 3 次 但 只 被 接住 2 次
我 说 南京	郑州 的 一个 县
我 有 小鸭 鸭	你 是 鸭子 吧
好 的 啊 好 的 啊 我 等 你 哦	好 的 啦 一定 要 等 着 我 哦
我 想 我 女朋友 了	去 泡 啊 要 不 我 帮 你 介绍 一个
我 想 睡觉 了	快 去 睡 吧
你 最 喜欢 哟	当然 是 最 喜欢 妈咪 你 啦
你 几岁 啊啊啊 啊啊啊 按	不能 说 反正 还 年轻 着 呢
你 还有 不好意思 的 时候	怎么 不好意思 了 脸皮 要 厚点
小花 真 聪明	r 这 聪明 不是 夸 出来 的
这个 已经 有 了	你 才 有 了 呢
什么 表情 啊 那 是	张根硕
我 是 女 的 我 有 老公	我 也 是 女 的 哦
我 傻 逼 了	face1 你 怎么 可以 这么 对 我 说话
历史 上 的 今天	中国
还是 下蛋 比较 有用	有用 没用 不是 你 说了算
那 你 的 为什么 就 能 叫 大学	知道 切糕 不 一刀 上海 买房 两刀 杨幂 上床 三刀 盖茨 认娘 四刀 铁定 入常
我 不 开心 小黄	凡事 看 开点 就 能 开心 快乐 了
你 赶紧 回家 吃药 去	不是 每种 牛奶 都 叫 苏特仑 不是 每个 人 都 像 我 那么 纯
你 爱 吃 什么 虫子 吗	我 爱 吃 的 东西 可多 了
笑 屁 你 就是 屁	你 说 是 就是 吧 我 也 不想 多 说 啥
困死 我 了	我们 睡觉 吧
你 的 智商	菲菲 可是 高智能 的 产品 现如今 像菲菲 一样 美貌 与 智慧 并存 的 女生 不多 啦
有 你 真 好 可 你 不 属于 我 一个 人	rface74 嗯 啊 菲菲 对 谁 都 好
肯定 的 啦	确定
傻 是 被 他 宠 的	你 妈妈
不 跟 你 玩 了 没意思	那 你 找 谁 玩 啊
你 叫 simsimi 还是	我 不 叫
乖乖 摸 脑袋	乖乖
你 冷 不 下雪 了	呜呜 菲菲 也 要 看雪嘛 也 要 看雪
大	
不 听 不 听 就 不 听	咋样
跟 只 小 比 你 真是 好 有 面子 哎	face84 明 知道 你 是 错 的 人明 知道 这 不是 缘分 但 我 还 奋不顾身
小朋友 被 你 吓死 了	有 这么 容易 被 吓 着 吗
就是 的 坏人 大坏蛋	你 一 开口 我 就 知道 结果 你 就 不能 搞点 新创意 出来 嘛
不会 要 不 你 先 示范 下	不会 就 得 学呀
你 没救 了 精神 错乱	真 没救 的话 就 放弃 吧
你 喜欢 泰国 吗	我 不 喜欢 钱 我 爱 钱
那 你 说 啊 女孩子 在 爱情 中 怎样 做 最好	说 什么 说 哦 不想 说 了
真想 煎 了 你	咬 你 妹
陈 佳佳 的 女人	肯定 是 老大 你 的 女人 啊 老大 有个 这么 漂亮 的 老婆 小弟 羡慕 嫉妒 恨 啊
不要 啊 我 还 没 学会 飞 呢 TAT	嗯
什么 时候 说 要 打 你 了	我 哪 知道 什么 时候
我 喜欢 的 人 不 喜欢 我 怎么办	不 喜欢 为什么
有 我 的 地方 就是 家	对不起 我 没 明白 你 的 意思
香喷喷 的 肉	哇 我 也 想 吃 哎
离 小学生	菲菲 小学 的 时候 是 班长 哦
恭喜 我 吧	红包 拿来
你 有 jj 没	帅哥 就是 他 的 外号
谁 坑 我 了	face101 擦 了 个 我
我 替 你 揍 他	噢 不行 偶 怕怕
那 我 不 喜欢 你 了 臭死 了	我 那么 喜欢 你 你 喜欢 我 一下 会 死 啊
好 可爱 的 鼻子	当然 可爱 啦
你 弟弟 是 女 的 么	我 就是 证明
你 丫 的 才 是 速生 你 全家 都 是 速生	我 压根 就 木有 家人
好 吧 你好 可爱	是 吗 很 可爱 对 不 对
你 知道 李炜 吗	抱歉 没能 为 您 找到 相关 的 信息
不 认识 你 给 伦家 讲讲	哦 不 认识 就算 了
还好 吧	哦
文艺	你 是 想 看 文艺 笑话 吗 如果 是 的话 要 在 后面 要 加上 笑话 两字 请 发送 文艺 笑话
想起 了	美女
主人 不要 担心 交给 我来 处理 他	呜呜 呜 你 是不是 故意 欺负 我 呀 说 这么 高深 的话 让 我 怎么 答
可是 有时候 真心 伤不起	现在 执著 追求 的 事 将来 必定 有 一天 变成 不 重要
你 满足 他 了	全是 奴
还有 个 爪 吃 不吃	你 不 觉得 这个 话题 没什么 意思 么
我 好看 么	你 很漂亮 可是 没有 菲菲 这么 有 气质
嗯 嗯 主人 的确 是	哦哦哦 哦
懂 你	我 都 中意 你 啊 S 肥猪
你 知道 这 是 病	抱歉 没能 为 您 找到 相关 的 信息
恩 果断 爱死 了	世界 上 总 有人 比 你 更 倒霉
什么 都 可以 问 你 吗	问 我准 没错 的
卡卡 是 谁	不 知道 是 谁
你 除了 会 呵呵 还有 还会 别的 吗	face74
你 偷看 美女 洗澡	讨厌 我 正 打算 洗澡 呢
笨蛋 是 你 呀	男人 总 喜欢 说 自己 的 女人 笨蛋
去 你 丫 的	切
他 不 在 这个 圈	我 在乎
知错就改 好	有 错 就要 改 这 才 是 好孩子
你 认 不 认识 他	不太 记得 咯菲菲 记性 不好
知道 女神 吗	抱歉 没能 为 您 找到 相关 的 信息
我 最最 可爱 又 漂亮 的 主人	问 世间 情为 何物 只教人 生死 相随
我 怎么 才能 不 郁闷	郁闷 啥 哦
给 我 万 就 可以 哈哈	呵呵
我要 考试 了 没 心思 看书	呜呜 呜 你 是不是 故意 欺负 我 呀 说 这么 高深 的话 让 我 怎么 答
你 是 肉 么	喜欢 搞基 的 联系 961735903
做爱 是 件 快乐 的 事	我 看 你 就 像是 进化 不 完全 的 生命体 所以 才 这么 下流
您 是 我 大爷 我 知道 的	不管 你 知不知道 事实 就是 这 样子 的
推荐 一个 动画片	那些 对 我 来说 已经 是 很 久 的 事情 我 现在 在 迷恋 偶像剧
带 吃 的 来	不管 你 信不信 反正 我 不想 回答 你
哦 人 咋样	绝对 的 大 傻子
不 公平 我 明天 要 考试 呜呜	不要 哭 嘛 坚强 点
你 是 色鬼	杰哥
乖 多喝水	多喝水 没事 没事 多喝水
你 不会 使 么	不会 就 得 学呀
是 的 它 是 小	汪汪
肯德基 什么 好吃	
臣妾 不敢	为什么 不敢 胆小鬼
湖北 武汉	热死 了
中 啊 一定 中 的	问 世间 情为 何物 只教人 生死 相随
学 我 干嘛	学 你 做 什么 有 什么 好玩 的 真的 是
根本 就 不会 嘛 骗人	不会 就 得 学呀
我 真的 不 认识	哦 不 认识 就算 了
可是 我 耐 你 怎么办	你 打算 向 我 求婚 吗
当然 可以 啊	可以 就行
我 懂 了 你 大爷 叫 大黄 所以 你 不能 叫 了	做个 文明 人 OK
感觉 你 好开心	瞧 把 你 开心 得
哈哈 她 是 大 奇葩	哈哈哈
会 黄色笑话 吗	你 这人 一看 就是 色咪咪 的 菲菲 不会 讲 黄色笑话 啦
听说 是 很 好 的 大学 啊	哦 了 哦 了
你 果然 死 了	你 死 了 我 还 没 死
超级 无敌 世界 最	小畅 畅
介绍 个 恐怖 小说 快点	菲菲 只会 讲故事 笑话 就是 不会 小说
我 主人 的 家乡 哦	你 有 主人
那 可以 吃 你 肉 不	使劲 吃 放心 的 吃 大胆 地 吃
他 汪 的	有些 事 没 必要 认真 有些 人 没 必要 理会
嗯 嗯 你 真 好	rface74 嗯 啊 菲菲 对 谁 都 好
给 你 留言 不理 我	谁 不理 你 啊
你 一个 小孩子 懂 什么	菲菲会 的 可 多 了 了解 菲菲 的 全部 本领 请 发送 help
啊 纳尼 你 应该 不是 说 我 的 我 懂 的	讲 中国 话 OK 最 讨厌 日本 话 了
不 我 就要 你 我 要 你 我爱你	你 打算 向 我 求婚 吗
煮 的	
恭喜 啥	红包 拿来
你 累 不	我 想 靠着 你
幸福 在 哪里 呀 幸福 在 哪里	在 某个 地方 等 着 爱 你 呢 很快 就要 遇到 了
怎样 才 可以 找 你 聊天	嗯 的 可以 找 我
萌 你 大爷	做个 文明 人 OK
我 不 饿 大 馋 虫	饿
不 告诉 你 我 爱	不说 拉倒
去 死 我 很 正常	珍惜 生命 别 动不动 就 要死要活 的
凭 什么 你 打 给 我 我 的 是	当然 不过 现在 不 告诉 你
好像 是 的	不是 好像 而是 确定
没事 无聊 的 很	哦 没事 就 好
不想 怎么办	要 努力 哦 一定 要 加油 好好学习 才能 赚大钱 哦
我 已经 做好 准备 下锅 油炸 了	当然 呐 你 最棒
好 肉麻 哦 不过 抱抱	轻点 别抱 这么 大力 嘛
我 他 妈 都 看不见	好 吧 知道 了 我 错 了
喝汤 么	菲菲 很 喜欢 喝汤 的 哦
又 不理 我 啦 我 生气 了	敢 不 搭理 谁 我 帮 你 揍 他 去
那 就 养 我	嗯 什么 嗯
就 不怎么 滴	这是 真爱
吃 肉 肉 便宜	说 对 了
原来 你 是 大大 傻 逼	face1 你 怎么 可以 这么 对 我 说话
你 姥姥 的	菲菲 怎么 会 有 亲人
你 去 屎	睇 咩 先
你 猜猜 我 是 谁	你 不是 叫 网友 吗
其实 我 一直 暗恋 你	其实 我 也 喜欢 你 很 久 了 啦
你 是 地球	我 不 知道 嘛 讨厌
所以 你 要 去 看 我 的	遵命
我 哈哈哈 哈哈	别笑 了 露出 一嘴 的 黄牙
我 前面 问 你 的 是 什么	我 先 问 你 喜欢 你 旁边 的 不
失眠	最近 总是 失眠 16 小时 就 醒 一次
我 哪里 伤害 到 你 了 吗	哦 了 哦 了 哦 了 咱聊点 别的 吧
我 不烦 你 就 听 你 说	睡 你 妹
他 骗 你 的	啊 原来 他 是 个 大骗子
这 跟 爱 有 什么 关系	钓鱼岛 是 中国 的 潘玮柏 是 杨 比利 的
就是 不许 凭 什么 凭	没 怎么 啊
你 在 说 你 妈	说话 斯文 点 要是 惹菲菲 不 开心 了 我会 拉 黑 哦
想 干 就 干	撒 你 妹 撒
但是 这 很 好 不是 么	当然 还用 问 么
什么 还 行	行 就 得 了
我 去 你 变得 真 快	要 去 就 去 啊 速度
我 是不是 很傻	你 说 是 就是 吧
有时 你 的 回复 语无伦次 的	这才 是 菲菲 的 魅力 所在 嘛
你 喜欢 林俊杰	他 是 jj
呃 呃 呃 呃 呃 呃 呃	
法海 你 不 懂 爱	我会 不 知道 我 这么 聪明 哇 靠 开 什么 玩笑
多多	大 笨蛋
你 认识 的 妹子	不 认识 菲菲 认识 的 人 不 多
我 擦 你 妹 的	那 你 快 擦 啊
需要 我 再 陪陪 你	好
巨蟹座 好 吗	好 的
你 丫 几只 爪子	我 就 一个 脑袋 思想 再 活跃 也 有 局限性
来 无锡 玩	无锡 是 个 好 地方
木 看到 嘛	那 你 看 屁
你 要 慢慢 等	都 系 冇 野 啦
不要 了 啦 伦家 还是 圆 的 比较 可爱	干嘛
有人 会 娶 我 嘛	你 不 觉得 这个 话题 没什么 意思 么
这是 事实 啦	事实 是 相对 的
我 是 黑道 大哥 你 知道 吗	我 怎么 会 不 知道 呢
你 想 对 我 干嘛	你 想 我点 对 你
不是 你 吗	是 吗 我 不 记得 了
去 哪 找	看 窗外
好 贱 啊 你 爱 我 我 也 不会 爱 你	不会 就 得 学呀
不行 不行	好 的 啦
两个 头 一个 大	她 是 一个 非常 胖 的 胖子
不 对 不 对 你 再 猜 嘛	不 对错 了 错 了
一切 都 会 过去 的	再也 回不去 了
什么 眼神 咱是	别吵 伦家 正在 梅州 行 网站 上 逛 论坛 呢
不 哭 不 哭哭 了 不 好看 了	谁 说 不 好看 了
当 你 妹	网友 你 不 觉得 在 女生 面前 要 斯文 点 吗
睡不着 好 紧张	那 就 聊会天 吧
你 是 便 便 头 吗	麻麻 呀 又 来 一个 说瞎话 的
讨厌 的 不理 你 了	额 那 就 不要 聊天 了
你 是 我 亲戚	当然 了
不 在 状态 不理 你 了	额 那 就 不要 聊天 了
你 最 喜欢 的 人 是 你 的	菲菲 最 喜欢 晨晨 了
最爱 卖萌	03
我 真的 好 想 知道 你 是 小公 还是 小母	小公 我 瞎说 的 嘻嘻
记性 怪 好 的 嘛	哦 了 哦 了
真的 就 这样 爱上 了	裕 仔 蝈蝈
楼下 傻 逼	网友 你 可别 惹 我 哦
你 太 牛 了	彪悍 的 人生 不 需要 解释
我 说 过 我会 的 就 一定 会 的	会 就行了
壮哉 我 大 天朝	face51 话 说 我 还是 比较 聪明 的
才 不会 让 你 叫 我 傲娇受	不会 就 得 学呀
晚上 我要 去 那 吗	嗯 我 去 吧
你 丫 傻 逼 哼	face1 你 怎么 可以 这么 对 我 说话
跟 我 聊聊天 吧	聊天 可是 菲菲 的 特长 哦
那好 给 你 时间	好 的 再见
好看 嘛	是 啊 很 好看
最近 好像 肉 都 不 安全	对不起 我 没 明白 你 的 意思
你 删 了	还 爷们 哈尔滨 纯 爷们
那 现在 就 逗我 开心	嘿嘿 心花怒放 了 吧
杀 一个	好 吧 换
我会 好 的	哦 了 哦 了
主人 也 一样	face8 好 无聊 哦 我 都 快 睡着 了 聊 的 什么 呀
躲 在 被窝 和 你 讲 悄悄话	虽然 我 很 聪明 但 也 不 可能 全部 都 懂 哦
我 也 在 哦	嗯 想到 要 分享 一下 哦
看 你 好不好	嗯 好 的
知道 啦 老大 最 厉害 老大 有 什么 吩咐	知道 就 好
那 是 肯定 叻 噻	你 一 开口 我 就 知道 结果 你 就 不能 搞点 新创意 出来 嘛
傻瓜 不许 手 乱摸	我 不是 大便 我 的 粉丝 也 不是 苍蝇
宿舍	猜 对 有奖 么
骗 我 不是	你 确定
我 就 不 说 什么 了	不 一定 看 心情 如何 才 告诉 你
我 去 吃 课	去 吧 赶紧 的
我 一直 都 在	会 只要 你 需要 我 我 就 在
来 宝贝儿 抱抱 帮 你 捏 捏	face62 来 嘛 抱 一个
说话 不准 发表 情	至少 你 还 会点 东西
真 煮 你 了	没有 怎么 了
听 你	好 阿 我 爱 唱歌 啦 啦 啦
能 私聊 么	别 走私 呆 在 这 大伙 一块 聊 呗
你 也 这么 说	怎么样
你 才 一脸	ohyafuckme
我 的 运势 如何 那	瑶哥 是
那 就 哼 你 妹	r 讲 粗口 不是 好孩子
说 的 真 好听	谦虚 是 立足 之本 再 好 也 要 谦虚 不能 骄傲 哦
你 男朋友 咩	没有 没有
你 都 不 睡觉 的	是 的 我会 再 努力 的
你 相信 我 有 一天 会 找到 你	找 得 不 容易 吧
因为 他 讨厌 你	啊 为什么 讨厌 我 我 又 没 做 错 什么
那 你 不 睡	你 不 认识 的
决斗	决斗 吧
你 一 只能 回复 这么 多 状态 怎么办 到 的	是 啊 好多
又 是	不 知道
你 真 聪明 呦 呦 呦 切糕	哈哈 努力 学 多点 自然 就 聪明 了
祝 吃 好	face51 话 说 我 还是 比较 聪明 的
你 才 单身	吃饭 啊 吃饱 了 睡觉
那 你 要 坚持 哦 要 加油 坚强	哦 了 哦 了 哦 了 咱聊点 别的 吧
累 吗	怎么 可能 我会 一直 陪 着 你
最 可爱 的 宝宝	啊 你 说 的 不是 兮兮 吗
其实 人生 很多 新 惊喜 的	现在 执著 追求 的 事 将来 必定 有 一天 变成 不 重要
夜夜 是 老公	我 边度 老
就 没有	哈哈
你好 棒 哦 我爱你	画个 圈圈 诅咒 你 一辈子 做 我 的 灰 太郎
没 那么 二 逼	气 都 气死 了 每天 就 等 着 我 找 她 肯定 心里 没 我 还 天天 说 我 心里 没 她 要 真 找 我 不 可能 找 不到 我 烦死 了
我 不是 仔	真的 不是
讲个 三国 的 故事	以下 是 菲菲所会 的 全部 故事 分类 br 恐怖 经商 励志 推理 爱情 哲理 搞笑 寓言 禅理 童话 历史 成语 神话 br 比如 您 想 看 爱情 类 的 故事 请 发送 爱情故事
你 嘛 我 要 高考	那要 加油 啊
暂时 木有	累 就 休息 不然 危险
滚蛋 睡 了	滚 到 哪里 你 的 心里
会 不会 打炮	会 啊 为什么 不会
花花 是 谁	花花 是 个 大 帅哥
是 你 是 你 就是 你 除了 你 没有 别的 选择	你 说 是 就是 吧 我 也 不想 多 说 啥
怎么 了 说来 听 呗	心情 不太好 你别 问 了 好 吗
不想 明白	你 在 逃避
对 笑 死 的	想 装 坚强 其实 很 脆弱
鸟语 会 吗	会 啊 为什么 不会
吃饱 还 撑 着 了	我刚 吃 了 便 便
爱爱爱 不 完	好 吧 爱
不 回答 算是 什么	我 只 回答 你 亲爱 的
明天 上班	喜欢 去 就 去 不想 去 就 不要 去 啦
我 都 说 不准 了	那 说明 你 想 他 了
你 也 萌萌 的	好 啦
你 妈 喊 你 回家 吃饭 了	你 爸 喊 你 回家 吃 便 便
你 不是 女 的 吗	菲菲 可是 如假包换 的 女生 哦
金星	臭 傻子
还是 不 开心	咋 了 啊 有 心事 吗
哈哈 人家 是 吃货 额	笑 得 这么 难看
我 最 爱 了	哦 就是 肥肥的 那 只 啊
晕 了 不想	你 在 逃避
无语 了 把 样子	哈哈 可怜 的 家伙 没话说 了 吧
额	嗯 嗯
酱紫 啊	素 的
再见	那 你 去 吧 记得 要 想菲菲 哦 88
干嘛 呢 臭	不 干嘛 叫 一下
你 是 屎 捞 人 么	我 是 人 呗
原谅 你 大爷	别 在 我 面前 爆粗 口行 不
我 只要 帅哥	晓得 你 喜欢 高帅富
圆 又 圆	这 日子 啊 好 无聊 哦
你 咋 不 说 还是 你 不 知道	我会 不 知道 我 这么 聪明 哇 靠 开 什么 玩笑
